product_id,nameold,brand,item_number,priceold,barcode,quantity_in_stock,unit_size,description,category_id,expiry_date,,,,,,,,,,,,,itemNumber,name,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8340,3m Nexcare Opticlude Eye Patch,3m,130377,13.99,051119000238,7,20 Patches,"1539-CA, Regular",115,,,8876,Touch - Combed Cotton Fasionable Knee High Compression Socks,Touch,1021BL-XL,62.99,048503202163,0,1 pair,"Size: X-Large
Color: Black
Compression: 20-30 mmHg",136,,1021BL-XL,Touch - Combed Cotton Fasionable Knee High Compression Socks - 1 pair,62.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8337,"3m Nexcare Tegaderm Waterproof Transparent Dressing, 400W, Nexcare",3m,160054,9.99,051131222137,1,6 Patches,,125,,,8882,Touch - Combed Cotton Fasionable Knee High Compression Socks,Touch,1061BL-S,34.99,048503206123,0,1 pair,"Size: Small
Color: Black
Compression: 15-20 mmHg",136,,1061BL-S,Touch - Combed Cotton Fasionable Knee High Compression Socks - 1 pair,34.99,,,,,,,,,,,,,,,PC0140,MKO GENU Trac - Universal - 1 brace,29.99,,,,,,,,,,C8,Champion Figure 8 Ankle Support - Medium - 1 brace,24.99
8350,3m Nexcare Flexible Clear First Aid Tape Dispenser,3m,170591,7.99,051131222670,5,1 roll,,125,,,8883,Touch - Combed Cotton Fasionable Knee High Compression Socks,Touch,1061BL-M,34.99,048503206130,0,1 pair,"Size: Medium
Color: Black
Compression: 15-20 mmHg",136,,1061BL-M,Touch - Combed Cotton Fasionable Knee High Compression Socks - 1 pair,34.99,,,,,,,,,,,,,,,0436,Champion Elastic Knee Support - XLarge - 1 brace,29.99,,,,,,,,,,C8,Champion Figure 8 Ankle Support - Large - 1 brac,24.99
8338,3m Nexcare Steri-Strip Skin Closures,3m,158586,9.99,6.38E+11,0,18 Patches,,125,,,8875,Touch - Combed Cotton Fasionable Knee High Compression Socks,Touch,1021BL-M,54.99,048503202132,0,1 pair,"Size: Medium
Color: Black
Compression: 20-30 mmHg",136,,1021BL-M,Touch - Combed Cotton Fasionable Knee High Compression Socks - 1 pair,54.99,,,,,,,,,,,,,,,0436,Champion Elastic Knee Support - Large - 1 Brace,29.99,,,,,,,,,,C8,Champion Figure 8 Ankle Support - XLarge - 1 brace,25.99
8819,3m Nexcare - Absolute Waterproof Tape,3m,158241,6.99,051131222502,7,1 roll,1 inch,125,,,9257,Trident Peppermint,Trident,24,1.99,057700225646,0,1 pack,,138,,3325BL-M,Truform Airway - Compression Arm Sleeve - Medium - Black - 1 arm sleeve,84.99,,,,,,,,,,,,,,,0436,Champion Elastic Knee Support - Small - 1 Brace,29.99,,,,,,,,,,C8,Champion Figure 8 Ankle Support - 2XLarge - 1 brace,25.99
8349,3m Nexcare Soft & Stretch Tape,3m,158249,4.99,051131222519,11,1 inch roll,Medium Hold,125,,,9267,Trident Spearmint,Trident,25,1.99,057700225608,0,1 pack,,138,,0361BL-L,Truform - Opaque KNEE High Stocking - 1 pair,58.99,,,,,,,,,,,,,,,C310,Champion Professional Neoprene Knee Stabilizer with Hinged Bars - XLarge - 1 Brace,99.99,,,,,,,,,,C8,Champion Figure 8 Ankle Support - Small - 1 brace,24.99
8339,"3m NexcareGentle Removal Eye Patch KRR-14-CA, Regular",3m,146965,16.99,051131217294,8,14 Patches,,139,,,9274,Trident Watermelon Twist,Trident,26,1.99,057700225622,0,1 pack,,138,,0263BL-L,Truform - TruSheer Ladies Sheer Knee Highs - 1 pair,49.99,,,,,,,,,,,,,,,0072,Champion Knee Brace W/Spiral Stays Open Patella - 1 Brace,24.99,,,,,,,,,,ANK750T,MKO Compression Ankle Support - Medium - 1 brace,29.99
8339,"3m NexcareGentle Removal Eye Patch KRR-14-CA, Regular",3m,146965,16.99,051131217294,8,14 Patches,,139,,,9287,Trident Bubblegum,Trident,22,1.99,057700225707,0,1 pack,,138,,1963BL-L,Truform - Ladies socks - 1 Pair,29.99,,,,,,,,,,,,,,,0072,Champion Knee Brace W/Spiral Stays Open Patella - Large - 1 Brace,24.99,,,,,,,,,,ANK750T,MKO Compression Ankle Support - Small - 1 brace,29.99
9285,5ive Gum Watermelon,5ive,09,1.99,064900423987,0,1 pack,add spearmint back - testing delete,138,,,9290,Trident Tropical Twist,Trident,28,1.99,057700225660,0,1 pack,,138,,1963BL-M,Truform - Ladies socks - 1 pair,29.99,,,,,,,,,,,,,,,0308RB,Professional Orthopaedic OTC Neoprene Knee Stabilizer with Stabilizer Pad - 1 Brace,99.99,,,,,,,,,,ANK750B,MKO Compression Ankle Support - Small - 1 brace,29.99
9342,5ive Sour Strawberry,5ive,11,1.99,064900429170,0,1 pack,,138,,,9421,Trident Freshmint,Trident,23,1.99,057700225684,0,1 pack,,138,,1963BL-S,Truform - Ladies socks - 1 pair,29.99,,,,,,,,,,,,,,,2435,Professional Orthopaedic OTC Knee Support W/Compression Gel Insert and Flexible Side Stays - LARGE - 1 Brace,49.99,,,,,,,,,,300T,MKO Ankle Support - Beige - Small - 1 brace,29.99
