Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,,,,product_id,name,brand,item_number,price,barcode,quantity_in_stock,unit_size,description,expiry_date,taxable,stock_bought,stock_sold,stock_expired,price_per_unit,category_id
2143,RICE KRISPIES SQUARES DOUBLE CHOCOLATEY CHUNK 85G,kellog's,64100906440,1.99,64100906440,12,85g,,2026-08-13,t,12,0,0,1.03,109,,,66000021247,1719,HEALTH ONE ALLERGY FORMULA - 12 CAPLETS,Health One,66000021247,7.99,66000021247,5,12 caps,0,46387,t,10,5,0,0,133
2096,STRAIGHT CANES,Card Health Care,6.52E+11,39.99,652308705066,1,1 cane,,,t,2,1,0,0,109,,,60093265182,212,BENADRYL ELIX PDA 100ML,Benadryl,721423,11.99,60093265182,7,100 ml,0,46477,t,10,3,0,6.93,118
2104,TOOTHPASTE SENSODYNE ULTRA FRESH 100ML,Haleon Canada,17611,8.99,60815030166,8,100ml,,2027-12-31,t,15,7,0,5.46,109,,,57606502292,2160,HEALTH ONE EXTRA STRENGTH ALLERGY RELIEF CETIRIZINE 10MG,health one,57606502292,9.99,57606502292,3,12 tabs,0,46721,t,5,2,0,0,109
2083,HEALTH ONE COLD & FLUE DAY AND NIGHT,Health one,936,12.99,66000020936,1,24 Caps,,2026-05-31,t,4,3,0,0,109,,,66000020837,420,HEALTH ONE 24 HOUR ALLERGY REMEDY,Health One,0,9.99,66000020837,5,30 ct,0,46629,t,10,5,0,0,133
2079,ENFAMIL FERINSOL DRP 50ML,Enfamil,112425,22.99,56796510407,1,50ml,,2027-01-02,t,3,2,0,13.46,109,,,62107006415,180,ADVIL CHILDREN BUBBLE GUM DYE FREE 100ML,Advil,164474,13.99,62107006415,3,100 ml,0,0,t,4,1,0,8.26,117
1957,FUZE ICED TEA,Nestle,,1,80793793679,13,341ml,,,f,24,11,0,1,109,,,66000021032,795,HEALTH ONE EXTRAS. IBUPROFEN 400MG,Health one,9,14.99,66000021032,8,72caplets,0,0,t,10,2,0,0,133
2110,OPTION+ TABLET CUTTER,Option+,106916,3.99,771290024075,1,1,,,t,1,0,0,2.32,109,,,57606117823,394,HEALTH ONE ASA 81MG,Health One,0,11.99,57606117823,11,150 ct,0,46507,t,13,2,0,0,133
2118,ORAJEL BABY HOMEOPATIC GEL 9.5G,orajel,18611,11.99,59972102168,1,9.5g,,,t,1,0,0,7.17,109,,,56219834226,2122,DRIXORAL NO DRIP W/MENTHOL 15ML,drixoral,498303,8.99,56219834226,1,15ml,0,46446,t,1,0,0,5.13,109
2084,HEALTH ONE FLU COUGH & COLD COMPLETE,health one,1254,12.99,66000021254,8,24 caps,,2028-02-28,t,8,0,0,0,109,,,66000020912,1158,HEALTH ONE ANTI-NAUSEA,Health One,27,14.99,66000020912,6,100 ct,0,0,t,10,4,0,0,133
2105,VITAMIN B12 INJ VL 1000UG/ML 10ML SDZ,sandoz,112466,6.99,57513090516,9,10mL,,2028-04-30,t,9,0,0,3.06,109,,,66000020905,393,HEALTH ONE ANTI-NAUSEA,Health One,0,6.99,66000020905,20,30 ct,0,46568,t,22,2,0,0,133
