product_id,name,brand,item_number,price,barcode,quantity_in_stock,unit_size,description,expiry_date,Taxable,stock_bought,stock_sold,stock_expired,price_per_unit,category_id
9257,Trident Peppermint,Trident,24,1.99,057700225646,1000,1 pack,,,TRUE,0,0,0,,138
8411,Tylenol Regular Strength Pain Relief Acetaminophen 325mg Caplets,Tynenol,667865,28.99,062600142641,3,200 ct, ,,TRUE,0,0,0,,117
9258,Glosette Almonds,Glosette,43,2.99,068000670210,1000,1 pack,,,TRUE,0,0,0,,138
9259,M&M's Milk Chocolate,M&M's,66,1.99,058496812317,1000,1 bar,,,TRUE,0,0,0,,138
9260,Pringles Chili and Lime,Pringles,94,3.99,064100150584,1000,156 g,,,TRUE,0,0,0,,138
9261,Planters Salted Cocktail Peanuts,Planters,109,4.99,058716991662,1000,200g,,,TRUE,0,0,0,,138
8382,Pepto Bismol Liquid ,Pepto Bismol,196733,19.99,056100008729,4,480 ml,"Liquid for Nausea, Heartburn, Indigestion, Upset Stomach, and Diarrhea Relief, Original Flavor""",,TRUE,0,0,0,11.4,130
9623,Atlas Glycerin,Atlas,618181,7.99,068625150753,1,100ml,,,TRUE,0,0,0,4.63,140
9582,Option+ Instant Hand Sanitizer,Option+,79760,5.99,7.7129E+11,4,250ml,,,TRUE,0,0,0,3.66,141
9572,Polysporin,Polysporin,152238,18.99,062600252210,1,30G,00062600252197 - POLYSPORIN TRIPLE ANTIBIOTIC OINT 30G,,TRUE,0,0,0,11.6,141
8199,ACET 325mg Acetaminophen Suppositories,Acet,197547,14.99,057606043627,6,12 ct,Suppositories,,TRUE,0,0,0,8.79,117
9632,Neutrogena All-in-One Make-up Removal,Neutrogena,102792,16.99,062600965004,4,25 clothes,,,TRUE,0,0,0,10.34,140
8205,Advil Pediatric Drops Dye Free Grape,Advil,786822,13.99,062107004336,2,24 ml,,,TRUE,0,0,0,8.88,117
9674,Jamieson Ultra Strength Zinc,Jamieson,840264,20.99,064642022790,4,90 tabs,,,TRUE,0,0,0,12.16,142
9573,Polysporin Kids,Polysporin,152234,12.99,062600252265,1,15g,,,TRUE,0,0,0,8.14,141
8339,"3m NexcareGentle Removal Eye Patch KRR-14-CA, Regular",3m,146965,16.99,051131217294,8,14 Patches,,,TRUE,0,0,0,10.14,124
9624,Jamp-K8 - 600mg,Jamp,123741,12.99,6.22082E+11,8,100 tabs,,,TRUE,0,0,0,7.49,142
9583,SudoCrem,Sudocrem,186932,18.99,6.24722E+11,2,250g,,,TRUE,0,0,0,11.02,140
9331,HiChew Mango,HiChew,142275,2.49,8.51681E+11,1000,1 pack,138 snack,,TRUE,0,0,0,1.67,142
9675,Robitussin Extra Strength Cough & Cold,Robitussin,759431,22.99,062107482004,4,250ml,,,TRUE,0,0,0,13.8,142
8283,Deepfreeze Deep Relief Ice Gel,Deepfreeze,633750,12.99,057521004512,0,255g," Muscle and Joint Pain Relief, Reduces Inflammation - Ice Pain Relief Gel",,TRUE,0,0,0,8.15,140
