product_id,name,brand,item_number,price,barcode,quantity_in_stock,unit_size,description,expiry_date,taxable,stock_bought,stock_sold,stock_expired,price_per_unit,category_id
8363,Colace Docusate Sodium Stool Softener Solution Syrup 4 Mg/ml 250 ml,Colace,109297,12.99,664985010142,1,250 ml,Stool Softener,2026-05-30,t,1,0,0,6.41,130
8911,PCP - Personal Care Products PCP - Padded Bath Safety Seat with back and swing away arms,PCP - Personal Care Products,7017,99.99,048503710705,3,1 seat,,,t,3,0,0,,137
8327,"Polysporin Complete Antibiotic Ointment, Heal-Fast Formula,",Polysporin,152202,14.99,062600252173,2,15g,,2028-02-28,t,2,0,0,8.69,123
8326,OZONOL OINTMENT,Ozonol,137563,17.99,825422000038,1,30g,,2026-10-31,t,1,0,0,10.46,140
7,Nexcare - two pack,nexcare,158950,6.99,051131222403,2,2 rolls,"",,t,2,0,0,,125
8328,"Polysporin Original Antibiotic Ointment,",Polysporin,152206,12.99,062600252241,2,15g,,2027-12-31,t,2,0,0,7.51,123
8364,Dulcolax Bisacodyl 5mg,Dulcolax,129260,3.99,057990062969,4,10 ct,"Stimulates the Bowels. Occasional Constipation Relief for Adults in 6-12 Hours - Suitable for Children Over 6 Years & Older, Adults and Breastfeeding Women",2027-02-28,t,4,0,0,2.23,130
8365,Dulcolax Bisacodyl - Suppositories,Dulcolax,146246,6.99,057990062952,2,3 suppositories,"Active Ingredient - Effective Relief of Occasional Constipation - Relief Within 15-60 Minutes - Suitable for Children 12 Years & Older, Adults and Breastfeeding Women, 10mg Supposit",2027-05-30,t,2,0,0,4.07,130
8376,LAX-A-NEMA - Sodium Phosphates Enema Immediate relief Acts within minutes,LAX-A-NEMA,105299,5.99,625972020193,1,130 ml, ,2027-04-30,t,1,0,0,3.60,130
8367,Fleet Saline ENEMA SODIUM PHOSPHATE SALINE 130ML,Fleet,124386,7.99,301320000191,1,130ml, ,2027-12-31,t,1,0,0,4.50,130
8388,Health One Ultra strength Gas relief,Health One,0,7.99,066000021001,4,12 Soft gels,,2027-08-30,t,4,0,0,,133
8369,GasX Ultra Strength Softgels,GasX,347393,13.99,058478103471,1,27 Softgels,,2027-04-30,t,1,0,0,8.46,130
8370,GasX Ultra Strength Fast Acting,GasX,346833,19.99,058478103488,2,45 softgels,GasX Ultra Strength Fast Gas Relief Soft Gels,2027-03-31,t,2,0,0,12.07,130
8371,Iberogast ,Iberogast,128522,39.99,056500370563,1,100ml, ,2026-05-30,t,1,0,0,23.20,130
8373,"Lacteeze Drops for Milk, Treats up to 75 litres",Lacteeze,235150,27.99,628467006207,1,15 g,lactase enzyme for MILK,2025-11-30,t,1,0,0,17.19,130
8378,"Metamucil - 3 in 1 MultiHealth Fibre! Fiber Supplement Powder, Orange",Metamucil,458091,24.99,056100046561,2,575 g,,2027-11-30,t,2,0,0,16.46,130
8382,Pepto Bismol Liquid ,Pepto Bismol,196733,19.99,056100008729,1,480 ml,"Liquid for Nausea, Heartburn, Indigestion, Upset Stomach, and Diarrhea Relief, Original Flavor",2026-03-31,t,1,0,0,11.40,144
8380,Nexium 24 Hour Acid Reducer ,Nexium,99524,19.99,062107072007,2,14 ct, ,2028-01-31,t,2,0,0,12.68,130
8381,Pepto Bismol Caplets,Pepto Bismol,161921,9.99,056100082118,1,24 ct,"for Nausea, Heartburn, Indigestion, Upset Stomach, and Diarrhea,",2027-02-28,t,1,0,0,6.09,130
8383,Phillips - Milk Of Magnesia Mint,Phillips,66101,10.99,056500602114,2,350 ml,"Constipation Relief, Cramp Free, Stimulant-free, Saline Laxative",2026-01-31,t,2,0,0,6.44,144
8387,PharmaScience Soflax Docusate Sodium,PharmaScience,383182,6.99,057606434463,8,100 ct, ,2025-09-30,t,8,0,0,3.63,130
8390,Tylenol Child Grape Susp,Tynenol,649541,12.99,062600143723,2,100ml,,2026-04-30,t,2,0,0,7.15,117
8375,LAX-A FIBER - Suitable those for lack dietary fibre,LAX-A FIBER,107384,16.99,625972020292,11,336 g,,2026-07-30,t,11,0,0,10.04,130
8389,Tylenol Infant Drops Cherry,Tylenol,953299,13.99,062600142061,1,24ml,"",2026-10-31,t,1,0,0,7.88,117
8395,"Tylenol Easy Dissolve Natural Wild Berry Acetaminophen Powder - Kids Pain Relief, 160 mg Acetaminophen",Tynenol,171220,12.99,062600379962,2,16 g,"",2026-02-28,t,2,0,0,7.15,117
8398,"Tylenol Arthritis Pain Relief Acetaminophen 650 mg Caplets, Bonus Pack",Tynenol,94788,42.99,062600964953,6,215 caplets,,2027-01-31,t,6,0,0,23.85,120
9429,One a Day women,Bayer,176485,18.99,056500372789,6,90 tabs,,2026-10-31,t,6,0,0,11.77,114
8158,Cerave Foaming facial cleanser,cerave,145838,24.99,3606000552593,0,562 ml, ,,t,0,0,0,14.78,111
8329,"Band-Aid Flexible Fabric Adhesive Bandages, Light Brown Skin Tone - Assorted Sizes",Band Aid,157949,6.99,062600404244,0,30 Patches,,,t,0,0,0,3.73,125
8368,Fleet Saline ENEMA MINERAL OIL 130ML,Fleet,124389,10.99,301320000184,0,130ml, ,,t,0,0,0,6.49,130
8372,"Lactaid Extra Strength Tablets, 40 Count",Lactaid,671644,21.99,062600143273,0,40 ct,,,t,0,0,0,12.59,130
8386,Senokot Natural Source Laxative 10tb,Senokot,158161,4.99,060025768606,0,10 ct,,,t,0,0,0,2.83,130
8775,Webber Naturals D3 1000iu,Webber Naturals,167306,18.99,625273035919,0,500tabs,,,t,0,0,0,11.10,114
8399,"Tylenol Complete Cold, Cough & Flu Convenience Pack",Tynenol,5730,17.99,062600959386,0,24 ct, ,,t,0,0,0,11.14,117
9579,Dexidin 4% - Chlorhexidine Gluconate,Atlas,131684,6.99,068625179310,4,115ml,,2027-08-31,t,4,0,0,3.70,141
8919,PCP - Personal Care Products PCP - Padded Bath Safety Seat with Back Rest,PCP - Personal Care Products,7103,79.99,048503710309,3,1 seat,,,t,3,0,0,,137
8396,"TYLENOL Children''s Fever and Sore Throat Pain Chewables, Relieves Fever and Sore Throat Pain Grape Flavour, For ages 2-11yrs",Tynenol,127535,10.99,062600275141,3,20 ct,"Chewables, Relieves Fever and Sore Throat Pain Grape Flavour, For ages 2-11yrs",2026-12-31,t,3,0,0,7.04,117
8218,Advil 200mg,Advil,700799,7.99,062107004121,3,24 ct,,2027-09-30,t,3,0,0,4.55,118
8,Dexidin 4 Detergent 4%,Dexiden,424903,11.99,068625170379,1,450ml,"",2027-08-31,t,1,0,0,7.09,125
8379,"Metamucil - MultiHealth Fibre! Sugar-Free Fiber Suplement Powder, Orange",Metamucil,600114,32.99,037000308577,2,425 g,,2028-01-31,t,3,1,0,21.88,130
9853,PCP - Padded bath Safety Seat with swing away arms,PCP,7106,89.99,048503710606,3,1,,,t,3,0,0,,137
9537,Tylenol Children's Fever and Sore Throat Pain Chewables - Bubble Gum,Tylenol,104504,12.99,062600962478,3,20 Chewable tabs,"",2027-02-28,t,3,0,0,7.04,117
8384,Relaxa laxative powder sachets 30 sacs,Relaxa,106163,28.99,665982000129,9,30 ct, ,,t,9,0,0,17.31,130
