product_id,name,brand,item_number,price,barcode,quantity_in_stock,unit_size,description,expiry_date,taxable,stock_bought,stock_sold,stock_expired,price_per_unit,category_id,status
2143,RICE KRISPIES SQUARES DOUBLE CHOCOLATEY CHUNK 85G,kellog's,64100906440,1.99,64100906440,12,85g,,2026-08-13,t,12,0,0,1.03,109,t
2104,TOOTHPASTE SENSODYNE ULTRA FRESH 100ML,Haleon Canada,17611,8.99,60815030166,8,100ml,,2027-12-31,t,15,7,0,5.46,109,t
2083,HEALTH ONE COLD & FLUE DAY AND NIGHT,Health one,936,12.99,66000020936,1,24 Caps,,2026-05-31,t,4,3,0,0.00,109,t
1957,FUZE ICED TEA,Nestle,,1.00,80793793679,13,341ml,,,f,24,11,0,1.00,109,t
2110,OPTION+ TABLET CUTTER,Option+,106916,3.99,771290024075,1,1,,,t,1,0,0,2.32,109,t
2118,ORAJEL BABY HOMEOPATIC GEL 9.5G,orajel,18611,11.99,59972102168,1,9.5g,,,t,1,0,0,7.17,109,t
2084,HEALTH ONE FLU COUGH & COLD COMPLETE,health one,1254,12.99,66000021254,8,24 caps,,2028-02-28,t,8,0,0,0.00,109,t
2105,VITAMIN B12 INJ VL 1000UG/ML 10ML SDZ,sandoz,112466,6.99,57513090516,9,10mL,,2028-04-30,t,9,0,0,3.06,109,t
1958,SCOTTIES KLEENEX,Scotties,,0.69,61328869113,99,1,Facial Tissues Pocket size,,t,100,1,0,0.40,109,t
713,GUM PRO-WEAVE DENTAL FLOSS MINT WAXED 165M,GUM,167881,4.99,70942004985,4,165m,DELETE THIS EVENTUALL< THERE IS A NEW ONE THAT IS BLUE,,t,6,2,0,3.00,109,t
2085,MCK GLOVES EXAM NITRILE PD-FREE MD 100,McKesson,177541,17.99,628286000530,3,100 gloves,,2029-12-31,t,5,2,0,10.47,109,t
2086,OPTION+ PILL PLANNER 4XDAILY,option+,167420,11.99,771290032063,4,1 planner,,,t,4,0,0,6.68,109,t
2098,HC 1% PROTECTION,Mantra Pharma,6.29E+11,8.99,629323290303,1,30g,,2028-06-30,t,2,1,0,0.00,109,t
2106,TOOTHPASTE SENSODYNE MULTI-ACTION CLEAN MINT 100ML,Sensodyne,33025,8.99,60815039176,2,100mL,,2028-03-31,t,4,2,0,5.46,109,t
2099,ESTROVEN STRESS MOOD MEMORY CAPS 30,Estroven,189029,39.99,92961040287,1,30 caps,,2027-03-31,t,1,0,0,24.05,109,t
2121,DRIXORAL NO DRIP ORIGINAL 15ML,drixoral,456038,8.99,56219836329,1,15ml,,2026-12-31,t,1,0,0,5.13,109,t
2107,TOOTHPASTE SENSODYNE WHITENING&ANTI TARTAR 100ML,Sensodyne,17605,8.99,69682254002,2,100mL,,2028-03-31,t,9,7,0,5.46,109,t
2061,SPLENDA MINI TB 200,Splenda,96286,8.99,722776000120,5,200 tabs,,2028-01-07,t,5,0,0,5.82,109,t
2148,OPTION+ BABY WIPES UNSCENTED 56,Option+,198183,3.99,771290038157,2,56 wipes,,,t,3,1,0,1.94,109,t
2100,ESTROVEN WEIGHT MANAGEMENT CAPS 30,Estroven,97500,39.99,92961040270,1,30 caps,,2026-05-31,t,1,0,0,24.05,109,t
2062,SPLENDA SWEETENER NO CALORIE 400G,Splenda,160923,27.99,722776200230,7,400 packets,,2028-01-07,t,7,0,0,16.58,109,t
2101,ESTROVEN MAX STRENGHT & ENERGY TB 28,Estroven,97481,39.99,92961040256,1,28 caps,,2026-08-31,t,1,0,0,24.05,109,t
2124,OMEGA 3 SELECT SOFTGEL 150+50 JAM,jamieson,996058,39.99,64642062321,2,200 so,,2029-07-31,t,5,3,0,22.93,109,t
2151,HYDRALYTE EFFERVESCENT ELECTROLYTE LEM LIME TB 20,hydralyte,178834,15.99,9326173003046,3,20 tabs,,2027-10-31,t,3,0,0,9.51,109,t
2116,SENOKOT S NATURAL LAXATIVE + STOOL SOFTENER TB 10,Senokot,196278,5.99,9314057021286,3,10 tabs,,2026-12-31,t,4,0,0,2.83,109,t
2064,HEMEBOOST FORTE HEME IRON TB 34.8MG 30,Pharmaris,196879,49.99,55668050294,1,30 tabs,,2027-07-31,t,3,2,0,31.95,109,t
2092,PHA PILL BX WKLY REM DY,PharmaSystems,590281,17.99,63636004170,5,1,,,t,5,1,0,8.80,109,t
2153,HYDRALYTE EFFERVESCENT STRAWBERRY LEMONADE TB 20,hydralyte,170864,15.99,9326173002797,4,20 tabs,,2027-04-30,t,4,0,0,9.51,109,t
2127,VITAMIN C TIME RELEASE CPLT 1000MG 100 JAM,Jamieson,685602,28.99,64642021250,0,100 caplets,,2029-05-31,t,2,2,0,16.03,109,t
2036,FORM GLV COTT MD 2,Formedica,973453,3.99,775604060568,5,2,,,t,7,2,0,2.42,109,t
2093,OPTION+ PILL&VIT WKLY PLANNER XL,Option+,106611,1.99,771290024037,4,1,,,t,5,1,0,1.14,109,t
2128,ZINC CITRATE TB 50MG WEB 180,Webber Naturals,502666,11.99,625273050530,2,180 tabs,,2030-03-31,t,3,1,0,6.76,109,t
2067,PEDIFIX TOE CUSHION         2,PediFix,72187,8.99,92437145249,1,1 pair,,,t,2,1,0,4.59,109,t
2094,PHA PILL BX REM 7DY XLG,PharmaSystems,267773,1.99,63636275341,2,1,,,t,2,0,0,1.80,109,t
